"","donorURI","time","amount","comment","run"
"14014","/tracker/donor/303887/18",2016-07-08 11:07:26,20,"Yes","Kirby's Dream Land Any%"
"14015",NA,2016-07-08 11:07:23,20,"No","Kirby's Dream Land Any%"
"14016","/tracker/donor/43072/18",2016-07-08 11:07:17,50,"Yes","Kirby's Dream Land Any%"
"14017","/tracker/donor/256265/18",2016-07-08 11:07:12,15,"Yes","Kirby's Dream Land Any%"
"14018",NA,2016-07-08 11:06:59,20,"No","Kirby's Dream Land Any%"
"14019","/tracker/donor/320246/18",2016-07-08 11:06:58,20,"Yes","Kirby's Dream Land Any%"
"14020","/tracker/donor/318713/18",2016-07-08 11:06:53,16.62,"Yes","Kirby's Dream Land Any%"
"14021",NA,2016-07-08 11:06:40,5,"No","Kirby's Dream Land Any%"
"14022",NA,2016-07-08 11:06:37,50,"No","Kirby's Dream Land Any%"
"14023","/tracker/donor/296207/18",2016-07-08 11:06:27,10,"Yes","Kirby's Dream Land Any%"
"14024","/tracker/donor/313438/18",2016-07-08 11:05:47,15,"Yes","Kirby's Dream Land Any%"
"14025","/tracker/donor/264063/18",2016-07-08 11:05:44,20,"Yes","Kirby's Dream Land Any%"
"14026",NA,2016-07-08 11:05:44,20,"Yes","Kirby's Dream Land Any%"
"14027","/tracker/donor/316019/18",2016-07-08 11:05:39,10,"Yes","Kirby's Dream Land Any%"
"14028","/tracker/donor/1780/18",2016-07-08 11:05:35,20,"No","Kirby's Dream Land Any%"
"14029","/tracker/donor/24468/18",2016-07-08 11:05:34,20,"Yes","Kirby's Dream Land Any%"
"14030","/tracker/donor/264363/18",2016-07-08 11:05:07,100,"Yes","Kirby's Dream Land Any%"
"14031",NA,2016-07-08 11:04:57,50,"No","Kirby's Dream Land Any%"
"14032","/tracker/donor/301587/18",2016-07-08 11:04:44,50,"Yes","Kirby's Dream Land Any%"
"14033",NA,2016-07-08 11:04:31,50,"Yes","Kirby's Dream Land Any%"
"14034","/tracker/donor/34231/18",2016-07-08 11:04:28,20,"Yes","Kirby's Dream Land Any%"
"14035","/tracker/donor/256314/18",2016-07-08 11:04:24,20,"Yes","Kirby's Dream Land Any%"
"14036","/tracker/donor/294249/18",2016-07-08 11:04:23,50,"Yes","Kirby's Dream Land Any%"
"14037","/tracker/donor/709/18",2016-07-08 11:03:36,100,"No","Kirby's Dream Land Any%"
"14038",NA,2016-07-08 11:03:33,50,"Yes","Kirby's Dream Land Any%"
"14039","/tracker/donor/263226/18",2016-07-08 11:03:30,20,"No","Kirby's Dream Land Any%"
