"","donorURI","time","amount","comment","run"
"1","/tracker/donor/315674/17",2016-01-10 00:33:09,50,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"2",NA,2016-01-10 00:32:53,50,"No","Final Fantasy Iv Any% No 64 Floor Glitch"
"3","/tracker/donor/14897/17",2016-01-10 00:32:51,100,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"4","/tracker/donor/315665/17",2016-01-10 00:32:17,20,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"5",NA,2016-01-10 00:32:12,15,"No","Final Fantasy Iv Any% No 64 Floor Glitch"
"6","/tracker/donor/315663/17",2016-01-10 00:32:05,10,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"7","/tracker/donor/315671/17",2016-01-10 00:31:37,100,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"8",NA,2016-01-10 00:31:26,50,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"9","/tracker/donor/315666/17",2016-01-10 00:31:18,20,"No","Final Fantasy Iv Any% No 64 Floor Glitch"
"10",NA,2016-01-10 00:31:11,10,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"11","/tracker/donor/315668/17",2016-01-10 00:31:09,5,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"12","/tracker/donor/315662/17",2016-01-10 00:31:07,5,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"13","/tracker/donor/315661/17",2016-01-10 00:31:01,5,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"14",NA,2016-01-10 00:30:56,75,"No","Final Fantasy Iv Any% No 64 Floor Glitch"
"15",NA,2016-01-10 00:30:55,5,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"16",NA,2016-01-10 00:30:53,20,"No","Final Fantasy Iv Any% No 64 Floor Glitch"
"17",NA,2016-01-10 00:30:53,20,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"18","/tracker/donor/24814/17",2016-01-10 00:30:42,10,"No","Final Fantasy Iv Any% No 64 Floor Glitch"
"19","/tracker/donor/315664/17",2016-01-10 00:30:37,15,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"20","/tracker/donor/264499/17",2016-01-10 00:30:16,25,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"21",NA,2016-01-10 00:29:51,5,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"22",NA,2016-01-10 00:29:42,5,"No","Final Fantasy Iv Any% No 64 Floor Glitch"
"23",NA,2016-01-10 00:29:40,5,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"24","/tracker/donor/315658/17",2016-01-10 00:29:39,20,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"25","/tracker/donor/308444/17",2016-01-10 00:29:39,10,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"26","/tracker/donor/17228/17",2016-01-10 00:29:34,100,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"27","/tracker/donor/315654/17",2016-01-10 00:29:31,50,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"28","/tracker/donor/315065/17",2016-01-10 00:29:24,10,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"29","/tracker/donor/315660/17",2016-01-10 00:29:15,10,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"30","/tracker/donor/301761/17",2016-01-10 00:29:13,10,"No","Final Fantasy Iv Any% No 64 Floor Glitch"
"31","/tracker/donor/315659/17",2016-01-10 00:29:10,25,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"32","/tracker/donor/294507/17",2016-01-10 00:29:06,10,"No","Final Fantasy Iv Any% No 64 Floor Glitch"
"33","/tracker/donor/294071/17",2016-01-10 00:29:04,5,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"34",NA,2016-01-10 00:28:56,10,"No","Final Fantasy Iv Any% No 64 Floor Glitch"
"35","/tracker/donor/37547/17",2016-01-10 00:28:52,30,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"36",NA,2016-01-10 00:28:45,100,"No","Final Fantasy Iv Any% No 64 Floor Glitch"
"37",NA,2016-01-10 00:28:40,50,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
"38","/tracker/donor/315653/17",2016-01-10 00:28:35,10,"Yes","Final Fantasy Iv Any% No 64 Floor Glitch"
